Date,price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,libor,USDJPY,GBPUSD,FTSE100,NYSE,MS,JPM,Nikkei225
2010-06-16,137.059998,135.912857,139.3328567142857,141.43821510154146,137.87411934210235,-3.5640957594391125,3.653284388560096,146.6394254914059,132.0262879371655,136.69547544282088,136.059998,4.913095950217517,0.35,91.32,1.4729,5237.92,6976.080078,25.77,38.52,10067.150391
2010-06-17,137.320007,135.84714385714287,139.33095223809522,141.13312216621875,137.78887128914403,-3.344250877074728,3.679304350476388,146.689560939048,131.97234353714245,137.11182981427362,136.320007,4.91500511443077,0.35,90.89,1.4823,5253.89,6982.040039,25.32,38.439999,9999.400391
2010-06-18,138.179993,136.0442852857143,139.23952304761903,140.9143449780197,137.84904386024036,-3.0653011177793417,3.6131169516976103,146.46575695101424,132.01328914422382,137.82393860475787,137.179993,4.9212938810433275,0.35,90.69,1.4829,5250.84,6988.25,25.700001,39.18,9995.019531
2010-06-21,137.740005,136.61142828571428,139.31761823809524,140.67918193075553,137.8322686509265,-2.846913279829039,3.6191739406452297,146.5559661193857,132.07927035680478,137.76798286825263,136.740005,4.918081349051392,0.35,91.03,1.4748,5299.11,6978.859863,25.610001,38.869999,10238.009766
2010-06-22,134.78999299999998,136.48999885714284,139.03999909523807,140.2428997578378,137.36422624200333,-2.878673515834464,3.7136806042360035,146.46736030371008,131.61263788676607,135.78265628941753,133.78999299999998,4.896271354164726,0.35,90.39,1.481,5246.98,6858.950195,25.18,38.330002,10112.889648
2010-06-23,135.070007,136.72285671428568,138.96285647619047,139.8596851406381,137.01126943484684,-2.8484157057912682,3.7301237553362667,146.423103986863,131.50260896551794,135.30755676313916,134.070007,4.898362103825,0.35,89.94,1.4969,5178.52,6850.049805,25.030001000000002,38.889998999999996,9923.700195
2010-06-24,134.979996,136.44857128571428,138.60190399999996,139.4981940402857,136.69876582896552,-2.7994282113201905,3.8051838090076875,146.21227161801534,130.9915363819846,135.0891829210464,133.979996,4.897690505224919,0.35,89.6,1.4929,5100.23,6730.240234000001,24.26,38.029999,9928.339844
2010-06-25,139.66000400000001,136.8200007142857,138.57142785714282,139.51018096555498,137.15434093284338,-2.3558400327115976,3.506631679519374,145.58469121618157,131.55816449810408,138.13639697368214,138.66000400000001,4.932024922361885,0.35,89.25,1.5065,5046.47,6763.930176000001,25.01,39.439999,9737.480469
2010-06-28,136.66000400000001,136.72571457142857,138.17666628571425,139.299040398444,137.0782890969307,-2.220751301513303,3.221562991332705,144.61979226837965,131.73354030304884,137.1521349912274,135.66000400000001,4.9101517850034115,0.35,89.39,1.5102,5071.68,6736.600098000001,24.52,38.540001000000004,9693.94043
2010-06-29,133.759995,136.0942862857143,137.67666628571425,138.8887113230972,136.5677823122726,-2.3209290108245852,3.2029831481176356,144.08263258194953,131.27069998947897,134.89070833040913,132.759995,4.8885429491898265,0.35,88.63,1.5061,4914.22,6520.089844,23.450001,37.060001,9570.669922
2010-06-30,131.270004,135.17000042857143,137.17238071428568,138.32432516912107,135.75273949430434,-2.571585674816731,2.990614717424095,143.15361014913387,131.1911512794375,132.47690544346972,130.270004,4.86960925041493,0.35,88.51,1.4949,4916.87,6469.649902,23.209999,36.610001000000004,9382.639648
2010-07-01,131.139999,134.64857271428573,136.52047580952376,137.79212014990333,135.04308711005274,-2.7490330398505876,2.723759620058391,141.96799504964054,131.07295656940698,131.58563448115657,130.139999,4.868610786382805,0.31,87.71,1.5175,4805.75,6462.029785,23.09,36.080002,9191.599609
2010-07-02,131.080002,134.07857200000004,135.90333338095235,137.2948979163166,134.43338170813362,-2.8615162081829624,2.5452952341252617,140.99392384920287,130.81274291270182,131.24854616038553,130.080002,4.868149661174654,0.35,87.78,1.5202,4838.09,6434.810059,22.83,35.830002,9203.709961
2010-07-06,132.259995,133.69000042857144,135.42761885714282,136.92192249125515,134.09901452209402,-2.822907969161122,2.5393816824110393,140.50638222196488,130.34885549232075,131.9228453867952,131.259995,4.87718005095324,0.35,87.64,1.5152,4965.0,6486.089844,22.969998999999998,36.330002,9338.040039
2010-07-07,135.830002,133.14285728571426,135.29190499999996,136.8410355453859,134.36532028804223,-2.4757152573436656,2.474337877518488,140.24058075503694,130.34322924496297,134.52761646226506,134.830002,4.904014740479477,0.35,87.82,1.5185,5014.82,6685.779785,23.950001,38.150002,9279.650391
2010-07-08,135.46000700000002,132.97142914285715,135.18142919047617,136.7387325129321,134.53373362840577,-2.204998884526333,2.4457839809758988,140.07299715242797,130.28986122852436,135.14921015408837,134.46000700000002,4.9012668091009814,0.34,88.5,1.5164,5105.45,6755.810059,24.200001,38.16,9535.740234
2010-07-09,138.059998,133.58571528571426,135.24142895238094,136.83660812463108,135.0762358395902,-1.7603722850408872,2.510226750508078,140.2618824533971,130.22097545136478,137.08973538469613,137.059998,4.9204187715655285,0.34,88.61,1.5065,5132.94,6808.709961,24.700001,38.849998,9585.320313
